,fecha,origen,destino,periodo,distancia,viajes
3821571,20200214,2807905,2807901,10,005-010,6.382
3821572,20200214,2807905,2807901,16,002-005,29.536
3821573,20200214,2807905,2807901,17,002-005,13.292
3821574,20200214,2807905,2807901,18,002-005,5.024
3821575,20200214,2807905,2807901,19,002-005,6.382
3821576,20200214,2807905,2807901,22,002-005,6.382
3821578,20200214,2807905,2807901,14,002-005,5.501
3821579,20200214,2807905,2807901,1,005-010,5.308
3821580,20200214,2807905,2807901,2,005-010,5.308
3821581,20200214,2807905,2807901,5,005-010,5.785
3821582,20200214,2807905,2807901,6,002-005,28.378
3821583,20200214,2807905,2807901,6,005-010,4.75
3821584,20200214,2807905,2807901,7,002-005,167.072
3821585,20200214,2807905,2807901,7,005-010,81.748
3821586,20200214,2807905,2807901,8,002-005,224.492
3821587,20200214,2807905,2807901,8,005-010,66.36
3821589,20200214,2807905,2807901,9,002-005,119.106
3821590,20200214,2807905,2807901,9,005-010,76.986
3821591,20200214,2807905,2807901,10,002-005,72.737
3821592,20200214,2807905,2807901,10,005-010,15.83
3821593,20200214,2807905,2807901,11,002-005,77.809
3821594,20200214,2807905,2807901,11,005-010,35.175
3821595,20200214,2807905,2807901,12,002-005,36.544
3821596,20200214,2807905,2807901,12,005-010,28.943
3821597,20200214,2807905,2807901,13,002-005,43.869
3821598,20200214,2807905,2807901,13,005-010,32.519
3821599,20200214,2807905,2807901,14,002-005,62.77
3821600,20200214,2807905,2807901,14,005-010,5.846
3821601,20200214,2807905,2807901,15,002-005,54.831
3821602,20200214,2807905,2807901,15,005-010,19.929
3821603,20200214,2807905,2807901,16,002-005,37.173
3821604,20200214,2807905,2807901,16,005-010,10.999
3821605,20200214,2807905,2807901,17,002-005,30.412
3821606,20200214,2807905,2807901,18,002-005,15.724
3821607,20200214,2807905,2807901,18,005-010,4.013
3821608,20200214,2807905,2807901,19,002-005,24.869
3821609,20200214,2807905,2807901,19,005-010,16.113
3821610,20200214,2807905,2807901,20,002-005,14.656
3821611,20200214,2807905,2807901,20,005-010,5.308
3821612,20200214,2807905,2807901,21,002-005,9.321
3821613,20200214,2807905,2807901,22,002-005,8.817
3821614,20200214,2807905,2807901,22,005-010,4.402
3821615,20200214,2807905,2807901,7,005-010,5.008
3821616,20200214,2807905,2807901,10,002-005,3.535
3821617,20200214,2807905,2807901,16,002-005,7.841
3821618,20200214,2807905,2807901,16,005-010,3.989
3821619,20200214,2807905,2807901,7,005-010,4.913
3821620,20200214,2807905,2807901,0,002-005,20.065
3821621,20200214,2807905,2807901,0,005-010,4.013
3821622,20200214,2807905,2807901,1,002-005,24.078
3821623,20200214,2807905,2807901,2,002-005,24.078
3821624,20200214,2807905,2807901,3,002-005,4.013
3821625,20200214,2807905,2807901,3,005-010,4.013
3821626,20200214,2807905,2807901,4,002-005,4.013
3821627,20200214,2807905,2807901,6,002-005,8.026
3821628,20200214,2807905,2807901,6,005-010,4.013
3821630,20200214,2807905,2807901,9,002-005,4.013
3821631,20200214,2807905,2807901,9,005-010,8.026
3821632,20200214,2807905,2807901,10,002-005,8.026
3821633,20200214,2807905,2807901,10,005-010,4.013
3821635,20200214,2807905,2807901,11,002-005,8.026
3821636,20200214,2807905,2807901,11,005-010,12.039
3821637,20200214,2807905,2807901,12,002-005,16.052
3821638,20200214,2807905,2807901,12,005-010,16.052
3821640,20200214,2807905,2807901,13,002-005,24.078
3821641,20200214,2807905,2807901,13,005-010,20.065
3821643,20200214,2807905,2807901,14,002-005,124.407
3821644,20200214,2807905,2807901,14,005-010,80.261
3821646,20200214,2807905,2807901,15,002-005,204.67
3821647,20200214,2807905,2807901,15,005-010,112.365
3821649,20200214,2807905,2807901,16,002-005,84.273
3821650,20200214,2807905,2807901,16,005-010,64.21
3821652,20200214,2807905,2807901,17,002-005,88.286
3821653,20200214,2807905,2807901,17,005-010,28.091
3821654,20200214,2807905,2807901,18,002-005,72.234
3821655,20200214,2807905,2807901,18,005-010,36.117
3821656,20200214,2807905,2807901,19,002-005,52.169
3821657,20200214,2807905,2807901,19,005-010,20.065
3821659,20200214,2807905,2807901,20,002-005,32.104
3821660,20200214,2807905,2807901,20,005-010,12.039
3821661,20200214,2807905,2807901,21,002-005,20.065
3821662,20200214,2807905,2807901,21,005-010,8.026
3821663,20200214,2807905,2807901,22,002-005,32.104
3821664,20200214,2807905,2807901,22,005-010,12.039
3821665,20200214,2807905,2807901,23,002-005,4.013
3821666,20200214,2807905,2807901,9,002-005,4.595
3821667,20200214,2807905,2807901,12,002-005,3.98
3821668,20200214,2807905,2807901,14,005-010,5.723
3821669,20200214,2807905,2807901,11,002-005,6.017
3821670,20200214,2807905,2807901,18,002-005,5.501
3821671,20200214,2807905,2807901,0,002-005,20.564
3821672,20200214,2807905,2807901,0,005-010,5.229
3821673,20200214,2807905,2807901,1,002-005,4.804
3821674,20200214,2807905,2807901,1,005-010,5.307
3821675,20200214,2807905,2807901,5,002-005,4.75
3821676,20200214,2807905,2807901,6,002-005,7.694
3821677,20200214,2807905,2807901,7,002-005,24.478
3821678,20200214,2807905,2807901,7,005-010,5.498
3821679,20200214,2807905,2807901,8,002-005,8.589
